cod,mpio_name,Material paredes,Material piso,Tipo de Vivienda,ADO|EU/LWAL+DNO/H:1,"ADO|EU/LWAL+DNO/H:1,2",CR+PC/LWAL+DUL/H:1,"CR+PC/LWAL+DUL/H:1,2",CR/LINF+DNO/H:3,CR/LINF+DNO/H:4,CR/LINF+DNO/H:5,"CR/LINF+DNO/H:6,10",CR/LINF+DUL/H:3,CR/LINF+DUL/H:4,CR/LINF+DUL/H:5,"CR/LINF+DUL/H:6,10",CR/LWAL+DUL/H:1,CR/LWAL+DUL/H:2,MATO/LN,MCF/LWAL+DNO/H:1,MCF/LWAL+DNO/H:2,MCF/LWAL+DNO/H:3,MCF/LWAL+DUL/H:1,MCF/LWAL+DUL/H:2,MCF/LWAL+DUL/H:3,MR/LWAL+DUL/H:2,MR/LWAL+DUL/H:3,MR/LWAL+DUL/H:4,MR/LWAL+DUL/H:5,MR/LWAL+DUL/H:6,MUR+ST/LWAL+DNO/H:1,MUR+ST/LWAL+DNO/H:2,MUR/LWAL+DNO/H:1,MUR/LWAL+DNO/H:2,MUR/LWAL+DNO/H:3,UNK,W+WO/LN+DNO/H:1,"W+WO/LN+DNO/H:1,2"
94001,Inírida,Concreto vaciado,"Mármol, parqué, madera pulida y lacada",Casa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94001,Inírida,Concreto vaciado,"Mármol, parqué, madera pulida y lacada",Tipo cuarto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94001,Inírida,Concreto vaciado,"Tierra, arena, barro",No aplica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
94001,Inírida,"Materiales de deshecho (Zinc, tela, cartón, latas, plásticos, otros)",Alfombra,No aplica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94001,Inírida,"Materiales de deshecho (Zinc, tela, cartón, latas, plásticos, otros)","Baldosa, vinilo, tableta, ladrillo, laminado",No aplica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94001,Inírida,"Materiales de deshecho (Zinc, tela, cartón, latas, plásticos, otros)","Cemento, gravilla",No aplica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94001,Inírida,"Materiales de deshecho (Zinc, tela, cartón, latas, plásticos, otros)","Madera burda, tabla, tablón, otro vegetal",No aplica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94001,Inírida,"Materiales de deshecho (Zinc, tela, cartón, latas, plásticos, otros)","Mármol, parqué, madera pulida y lacada",No aplica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94001,Inírida,"Materiales de deshecho (Zinc, tela, cartón, latas, plásticos, otros)","Tierra, arena, barro",No aplica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94001,Inírida,No tiene paredes,Alfombra,No aplica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
