COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
13442,2888,197,0,0,131,348,0,0,0,20
13458,166,12,35,0,6987,23,20,0,0,3
13468,2064,3,904,137,499,0,98,0,0,286
13473,998,13,16,33,7983,41,32,0,0,19
13490,293,0,0,0,4263,100,0,0,0,1
13549,2108,334,7,0,4182,679,33,0,0,0
13580,177,0,125,0,205,0,1,0,0,0
13600,560,14,0,7,1684,0,0,0,0,35
13620,129,0,0,0,0,0,0,0,0,0
13647,365,6,0,0,3,94,0,0,0,18
13650,1158,0,0,0,1295,4,4,0,0,625
13654,495,0,15,0,307,58,7,0,0,231
13655,257,37,0,0,3135,18,0,0,0,0
13657,1305,70,0,0,354,29,2,0,0,70
13667,426,23,0,205,2123,26,0,0,0,15
13670,642,50,3,0,2233,110,7,0,0,1
13673,480,6,0,0,134,0,15,0,0,0
13683,1084,0,5,0,181,0,6,0,0,0
13688,1724,0,0,0,5489,147,4,0,0,34
13744,995,0,3,0,2950,31,7,0,0,14
13760,113,0,0,0,2,0,0,0,0,3
13780,1089,7,0,0,78,0,4,0,0,23
13810,397,55,0,18,6689,53,2,0,0,56
13836,2988,0,1,0,84,2,3,0,0,0
13838,1155,0,0,0,66,0,0,0,0,2
13873,677,2,0,0,263,0,0,0,0,21
13894,397,4,0,0,26,18,0,0,0,129
15001,7266,0,4,0,12,0,3,0,0,1
15022,1266,0,0,0,0,1,0,0,0,0
15047,6838,0,6,0,419,0,0,0,0,135
15051,1387,0,1678,0,0,0,1,0,0,0
15087,2452,0,2,0,0,0,0,0,0,381
15090,562,0,0,0,27,0,1,0,0,459
15092,273,0,0,0,0,0,0,0,0,1238
15097,74,0,0,1,2,0,0,0,0,2592
15104,3792,0,3,0,1,0,0,0,0,0
15106,392,0,0,3,1175,0,0,0,0,0
15109,3493,0,0,0,13,0,0,0,0,30
15114,21,0,0,0,0,0,0,0,0,465
15131,2612,0,0,0,0,0,0,0,0,0
15135,761,0,0,0,570,0,0,0,0,486
15162,2021,0,0,0,0,0,0,0,0,0
15172,1671,0,0,0,1,0,0,0,0,0
15176,5613,0,0,0,0,0,0,0,0,3
15180,31,0,0,1,1,0,0,0,0,2537
15183,90,0,1,0,302,0,1,0,0,5437
15185,3855,0,0,24,50,0,0,0,0,7
15187,2308,0,0,0,0,0,0,0,0,2
15189,3283,0,0,0,0,0,0,0,0,0
15204,7917,0,0,0,0,0,0,0,0,0
15212,2047,2,9,0,206,1,5,0,0,19
15215,750,0,0,0,0,0,0,0,0,174
15218,672,0,0,0,0,0,0,0,0,1436
15223,1324,117,12,0,611,24,0,0,0,1
15224,1920,0,0,0,0,0,0,0,0,0
15226,1280,0,0,0,0,0,0,0,0,0
15232,3937,0,0,0,0,0,0,0,0,2
15236,890,0,0,0,47,0,0,0,0,114
15238,10183,0,3,0,3,0,2,0,0,12
15244,23,0,0,0,0,0,0,0,0,1771
15248,580,0,1,0,0,0,0,0,0,788
15272,3989,0,0,0,5,0,0,0,0,41
15276,35,0,0,0,0,0,0,0,0,1876
