COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
50223,1172,0,13,0,11,3,4,0,256,1
50226,4034,1,37,0,31,48,17,0,645,6
50245,154,0,3,0,5,0,6,0,72,51
50251,1103,3,7,0,36,46,1,0,247,0
50270,458,0,10,1,19,0,2,0,92,2
50287,2048,3,30,0,77,76,7,0,393,7
50313,14325,6,193,10,165,294,163,0,3911,11
50318,2211,2,21,0,7,12,9,0,242,0
50325,264,2,8,0,327,17,4,0,88,2
50330,1089,3,7,2,86,2,3,0,228,2
50350,827,0,55,0,663,10,7,0,631,2
50370,355,0,16,1,313,0,2,0,210,3
50400,1129,2,13,1,30,1,2,0,84,1
50450,414,2,74,0,226,5,3,0,86,0
50568,3159,6,100,3,413,194,102,0,703,12
50573,5166,0,66,4,91,192,60,0,1152,7
50577,931,0,16,0,181,40,2,0,377,5
50590,1321,0,13,2,158,40,8,0,325,2
50606,2296,0,138,0,3,8,35,0,383,65
50680,2371,5,9,4,33,90,6,0,409,5
50683,1162,2,8,2,90,22,5,0,318,7
50686,108,0,8,0,0,0,1,0,27,49
50689,4836,0,41,1,110,284,13,0,1046,13
50711,2091,5,26,1,535,92,28,0,971,6
52001,56842,6,1793,18,473,45,236,0,6015,1842
52019,331,0,2,1,0,1,1,0,24,257
52022,364,0,4,0,0,0,0,0,19,60
52036,484,0,2,0,0,0,0,0,68,44
52051,227,0,5,0,2,1,1,0,74,114
52079,1329,4,216,3,948,10,12,1,137,2
52083,622,0,4,0,1,0,1,0,27,102
52110,761,0,9,0,0,0,33,0,225,412
52203,290,0,4,0,4,2,0,0,35,116
52207,431,0,16,1,3,0,5,0,57,181
52210,160,0,1,0,2,0,0,0,48,236
52215,556,2,1,0,2,1,2,0,79,441
52224,277,0,12,0,1,0,3,0,35,195
52227,2131,0,15,0,7,0,2,0,269,66
52233,609,1,9,0,59,1,5,0,207,67
52240,1248,4,47,1,20,3,4,0,1157,45
52250,333,2,93,2,1244,4,44,0,147,7
52254,290,0,6,0,8,0,1,0,33,63
52256,275,0,27,0,7,1,1,0,102,594
52258,317,0,2,0,6,0,3,0,40,382
52260,875,0,9,1,7,0,3,0,96,207
52287,323,0,3,1,0,0,1,0,104,424
52317,919,0,2,0,4,0,0,0,74,271
52320,754,0,14,1,2,2,75,0,142,316
52323,502,0,10,0,0,0,1,0,74,356
52352,343,0,5,2,6,0,0,0,125,119
52354,389,0,5,0,0,1,4,0,208,25
52356,13071,0,232,0,75,9,51,0,1893,498
52378,1594,0,8,0,0,0,1,0,102,70
52381,418,1,3,2,29,0,2,0,94,119
52385,643,0,7,0,40,2,0,0,81,41
52390,430,1,2,0,300,1,8,0,195,0
52399,2265,2,16,5,32,18,11,0,287,689
52405,562,4,4,0,23,1,0,0,147,400
52411,562,0,5,1,2,0,0,0,54,59
52418,923,0,4,3,21,0,1,0,180,96
52427,314,1,20,0,563,1,0,0,125,1
52435,676,0,11,0,52,0,2,0,135,2
52473,81,0,14,1,1398,1,39,0,171,21
52480,540,0,6,0,16,0,3,0,85,123
52490,271,5,28,1,2391,3,76,0,517,27
52506,350,0,152,0,0,0,2,0,74,133
52520,128,0,20,1,1069,0,15,0,136,0
52540,1009,4,11,1,73,6,9,0,225,154
52560,448,0,9,1,1,0,2,0,35,105
52565,307,0,3,0,14,0,0,0,79,74
52573,693,0,15,0,30,0,0,0,194,480
52585,1213,0,14,0,3,0,5,0,244,338
52612,443,11,113,6,425,18,5,0,413,1
52621,182,2,20,2,465,1,9,0,50,2
52678,1775,5,212,1,81,30,1,0,322,220
52683,2865,4,113,2,28,1,10,0,366,331
52685,428,0,33,0,3,0,0,0,43,152
52687,286,0,23,0,3,1,0,0,118,486
52693,1040,0,6,0,3,0,2,0,166,170
52694,178,0,0,0,0,0,1,0,33,25
52696,108,3,12,0,665,6,2,2,10,3
52699,294,0,20,0,19,0,0,0,25,64
52720,539,0,0,0,1,0,0,0,87,57
52786,1742,5,21,2,9,3,6,0,510,481
52788,332,0,5,0,1,0,0,0,140,371
52835,8164,96,2954,98,10892,80,846,3,3485,74
52838,4315,0,230,0,24,5,94,0,487,299
52885,511,0,220,0,3,0,4,0,152,330
54001,121193,221,4025,15,8524,715,1436,0,27750,1230
54003,2842,0,188,7,1,1,101,0,280,230
54051,371,3,10,0,8,0,1,0,87,200
54099,948,2,12,0,21,0,4,0,328,219
54109,189,1,3,0,2,0,1,0,56,45
54125,78,0,2,0,0,0,0,0,28,104
54128,517,0,3,0,0,0,8,0,119,129
54172,2565,2,24,1,9,11,7,0,1160,263
54174,623,0,3,0,0,2,0,0,84,170
54206,1363,0,5,0,21,24,5,0,396,647
54223,236,0,4,0,1,0,2,0,90,176
54239,321,1,5,0,3,1,16,0,91,248
54245,772,0,17,0,17,7,2,0,201,502
54250,1273,1,10,0,333,17,1,0,305,115
54261,3282,1,29,1,155,26,12,0,292,111
54313,348,0,117,0,5,0,7,0,143,4
54344,249,0,2,0,5,2,1,0,27,110
54347,136,0,1,0,14,0,5,0,10,45
54377,245,0,6,0,0,0,0,0,34,51
54385,903,0,5,0,52,5,2,0,126,5
54398,165,0,0,0,1,0,0,0,65,171
54405,17364,2,478,1,273,145,85,0,2801,19
54418,334,0,3,0,5,0,1,0,96,105
54480,166,0,0,0,0,0,0,0,21,69
54498,20635,13,88,1,273,151,16,0,2206,745
54518,7758,1,72,0,16,4,16,0,895,442
54520,296,0,3,0,1,0,3,0,53,36
54553,1357,20,8,1,54,6,0,0,100,1
54599,485,0,6,0,5,0,10,0,70,100
54660,786,2,6,1,15,0,3,0,247,363
54670,353,0,0,0,1,8,0,0,49,136
54673,1234,2,4,0,47,24,0,0,268,204
54680,346,0,1,1,1,0,3,0,49,61
54720,2243,1,12,0,47,1,21,0,258,107
54743,376,0,1,0,1,0,1,0,83,167
54800,439,1,2,1,6,2,0,0,72,177
54810,4141,7,42,3,1254,124,17,0,610,43
54820,1172,0,9,0,12,1,3,0,157,214
54871,284,0,3,0,1,1,0,0,113,243
54874,18719,9,1121,3,501,241,67,0,4188,168
63001,51489,894,4520,354,628,27,811,0,5579,424
63111,352,3,6,4,1,0,3,0,27,3
63130,13181,400,1277,74,79,93,169,0,1072,123
63190,5215,73,94,17,121,7,55,0,419,93
63212,795,3,9,4,7,0,2,0,42,21
63272,1405,15,121,3,16,1,45,0,117,32
63302,661,0,58,2,2,0,4,0,72,190
63401,5931,137,698,65,24,6,25,0,416,18
63470,6362,329,232,28,86,20,20,0,391,180
63548,456,3,5,1,2,0,1,0,40,106
63594,5066,47,149,11,30,3,17,0,364,147
63690,804,73,27,3,24,2,19,0,85,114
66001,65163,1077,7162,501,1176,62,765,0,9520,765
66045,667,2,153,0,2,2,145,0,132,248
66075,344,6,10,4,9,0,9,0,31,51
66088,2299,9,145,5,5,0,10,0,348,249
66170,34765,130,2873,51,176,12,167,0,4042,137
66318,894,4,18,3,4,1,3,0,103,280
66383,478,0,65,0,40,0,10,0,57,75
66400,5548,13,201,11,15,1,56,0,522,16
66440,1529,25,322,12,34,0,16,0,157,298
66456,939,6,76,2,41,3,21,0,199,130
66572,666,39,185,5,72,0,9,0,178,37
66594,1929,73,63,40,7,2,16,0,359,197
66682,10517,176,1271,13,120,8,73,0,1305,577
66687,1128,1,28,2,8,1,20,0,134,383
68001,40092,3,2511,7,515,62,638,0,2653,508
68013,53,0,1,0,0,0,0,0,18,23
68020,102,0,3,0,10,0,4,0,33,21
68051,407,0,4,1,3,0,3,0,25,53
68077,5233,1,79,0,47,9,17,0,778,4
68079,381,0,4,1,0,0,3,0,322,475
68081,37560,10,646,2,2907,75,145,0,4352,51
68092,393,0,4,0,97,5,36,0,199,150
68101,328,0,3,0,9,0,12,0,93,79
68121,39,0,0,0,0,0,0,0,8,37
68132,142,0,2,0,0,0,1,0,13,63
68147,558,0,1,0,0,0,3,0,101,156
68152,92,0,2,0,3,0,2,0,52,103
68160,48,0,2,0,0,0,0,0,17,52
68162,486,0,3,0,3,0,4,0,49,37
68167,1543,1,12,0,2,3,4,0,263,288
68169,209,0,3,0,0,0,0,0,76,6
68176,174,0,1,0,0,0,0,0,34,20
68179,104,1,60,0,0,0,1,0,45,3
68190,3332,2,39,0,438,4,11,0,1127,3
68207,532,0,3,0,0,0,3,0,112,142
68209,129,0,0,0,0,1,2,0,24,8
68211,319,0,6,0,0,0,1,0,147,480
68217,247,0,9,1,0,0,0,0,65,26
68229,881,0,8,0,3,0,2,0,163,152
68235,469,0,2,0,22,0,1,0,18,1
68245,156,0,10,0,1,0,0,0,43,23
68250,213,0,2,0,32,0,0,0,130,26
68255,1409,0,3,0,240,48,2,0,210,12
68264,103,0,1,0,0,0,0,0,20,5
68266,191,0,2,0,0,0,0,0,33,45
68271,353,0,5,0,17,0,0,0,172,2
68276,33596,4,1332,1,595,103,860,0,2213,44
68296,19,0,1,0,0,0,0,0,12,25
68298,133,0,0,0,1,0,0,0,34,8
68307,22374,3,533,11,296,54,271,0,1822,162
68318,291,0,6,0,0,0,2,0,162,121
68320,414,0,6,0,0,0,2,0,88,43
68322,109,0,1,0,1,0,0,0,34,35
68324,205,0,61,0,2,0,4,0,67,23
68327,676,3,1,0,2,1,1,0,87,2
68344,107,0,0,0,0,0,0,0,25,44
68368,167,0,3,0,0,1,0,0,44,17
68370,1,0,1,0,0,0,0,0,6,9
68377,360,0,4,0,39,0,0,0,74,10
68385,797,0,5,0,61,1,3,0,167,4
68397,255,0,1,0,4,0,1,0,65,26
68406,3105,2,90,0,47,45,9,0,487,37
68418,248,0,3,0,0,0,1,0,45,97
68425,54,0,0,0,0,0,0,0,12,27
68432,3314,0,27,0,0,0,15,0,406,83
68444,153,0,2,0,0,0,4,0,43,70
68464,763,0,8,1,1,2,2,0,175,252
68468,72,0,14,0,0,0,4,0,38,90
68498,177,0,2,0,0,0,4,0,40,20
68500,1054,1,5,1,8,4,3,0,145,54
68502,206,0,4,0,0,0,3,0,173,148
68522,90,0,2,0,0,0,0,0,39,47
68524,146,0,1,1,0,0,0,0,24,2
68533,266,0,1,0,1,1,5,0,29,27
68547,20893,2,684,2,51,18,755,0,3306,381
68549,271,0,0,0,0,0,0,0,66,17
68572,1312,0,18,1,4,0,6,0,257,23
68573,981,2,3,0,254,4,0,0,311,2
68575,5523,156,19,6,1115,27,25,0,1702,23
68615,2077,1,10,1,199,14,3,0,251,127
68655,4478,2,117,2,813,270,32,0,2298,10
68669,497,0,6,0,0,0,4,0,147,359
68673,119,2,0,0,4,0,0,0,28,5
68679,8819,1,282,0,28,0,79,0,1121,417
68682,170,0,0,0,0,0,0,0,84,70
68684,214,0,4,0,0,0,7,0,44,60
68686,147,0,0,0,0,0,1,0,22,26
68689,2863,6,89,0,373,38,268,0,631,160
68705,38,0,4,0,0,0,0,0,12,32
68720,213,2,1,0,42,0,3,0,76,69
68745,458,0,1,0,23,0,2,0,92,125
68755,5415,0,64,0,3,1,45,0,753,252
68770,640,2,15,0,14,5,10,0,206,121
68773,244,0,5,0,0,0,2,0,73,81
68780,215,0,1,0,3,0,0,0,61,62
68820,208,0,1,0,0,0,1,0,53,11
68855,493,0,6,0,0,0,4,0,51,57
68861,2173,1,589,4,49,3,9,0,372,55
68867,138,0,0,0,1,0,1,0,28,39
68872,727,1,2,0,0,0,2,0,185,451
