COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
15693,6670,0,63,0,2,1,2,0,0,161
15696,882,0,20,0,5,0,4,0,0,72
15720,431,0,0,0,0,0,0,0,0,248
15723,229,0,4,0,0,0,5,0,0,53
15740,1061,0,1,0,0,0,0,0,0,52
15753,5525,0,263,0,4,0,14,0,0,342
15755,1075,0,3,0,0,0,9,0,0,308
15757,3976,1,32,0,8,8,12,0,0,312
15759,105024,1,1805,3,56,23,208,0,0,402
15761,505,0,6,0,0,0,15,0,0,71
15762,396,0,3,0,0,0,10,0,0,48
15763,1169,0,2,0,0,0,3,0,0,119
15764,995,0,386,10,0,0,7,0,0,13
15774,514,0,1,0,0,0,0,0,0,64
15776,2054,0,8,0,1,0,3,0,0,15
15778,586,1,6,0,7,0,6,0,0,53
15790,1479,0,19,7,0,0,0,0,0,150
15798,923,0,9,0,0,0,4,0,0,110
15804,1519,0,4,0,5,0,0,0,0,116
15806,4714,36,122,0,0,0,16,0,0,108
15808,600,0,6,0,0,0,117,0,0,4
15810,901,0,17,2,0,0,0,0,0,25
15814,4004,0,15,0,4,3,5,0,0,171
15816,593,0,1,0,4,0,0,0,0,9
15820,1182,0,6,0,0,0,19,0,0,225
15822,674,0,1,0,2,0,0,0,0,92
15832,246,0,0,5,0,0,0,0,0,0
15835,1748,0,10,0,13,0,21,0,0,258
15837,2247,0,0,0,3,0,1,0,0,49
15839,254,0,0,0,0,0,2,0,0,31
15842,903,0,30,0,1,0,3,0,0,75
15861,3311,0,185,0,3,0,7,0,0,34
15879,330,0,10,0,0,0,0,0,0,73
15897,836,0,22,0,33,1,6,0,0,160
17001,318518,2865,34481,764,2693,159,3661,0,0,15493
17013,9405,27,185,4,7,0,99,0,0,2122
17042,13663,138,1140,45,82,9,43,0,0,3657
17050,3436,30,378,13,17,0,39,0,0,2621
17088,3098,68,119,39,6,4,293,0,0,1313
17174,33329,662,9611,24,267,2,69,0,0,476
17272,3231,0,56,115,19,0,31,0,0,1199
17380,59922,38,1528,11,3165,187,747,0,0,220
17388,3038,39,15,29,0,0,3,0,0,96
17433,8501,0,932,1,408,1,11,0,0,28
17442,3411,0,135,6,17,5,82,0,0,1157
17444,5598,8,112,0,17,0,3,0,0,10
17446,526,2,109,0,242,0,22,0,0,221
17486,8293,275,366,27,142,7,235,0,0,3199
17495,3987,0,31,5,350,1,4,0,0,0
17513,5208,5,297,6,12,3,72,0,0,2095
17524,8690,580,180,22,4,1,15,0,0,306
17541,4478,1,1688,3,2392,0,399,0,0,68
17614,21152,164,1196,89,117,18,191,0,0,2424
17616,2958,56,234,27,24,0,95,0,0,972
17653,5550,38,386,50,154,46,466,0,0,4713
17662,7600,3,256,11,458,1,20,0,0,76
17665,996,6,37,14,0,3,38,0,0,230
17777,13194,4,133,12,14,12,11,0,0,705
17867,4715,20,86,10,150,3,0,0,0,0
17873,51176,617,4287,64,333,11,247,0,0,594
17877,9387,9,581,5,18,21,8,0,0,626
18001,120943,39,3640,41,14367,427,230,0,0,172
18029,2110,0,10,5,109,0,8,0,0,7
18094,5153,0,35,1,791,25,2,0,0,18
18150,9791,15,184,7,5711,154,311,0,0,17
18205,3751,0,63,1,1588,3,12,0,0,0
18247,11597,3,388,7,1461,21,8,0,0,9
18256,6814,2,155,0,867,258,4,0,0,5
18410,3349,9,47,0,1010,73,124,0,0,4
18460,1577,0,201,3,677,2,8,0,0,25
18479,1756,0,2,1,66,8,0,0,0,1
18592,13387,0,90,9,1357,60,16,0,0,7
18610,5954,3,54,1,2137,6,4,0,0,1
18753,15466,19,313,0,7853,79,70,1,0,58
18756,1925,0,71,1,1495,23,8,0,0,3
18785,1397,4,5,4,1667,0,234,0,0,8
