COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
15425,33,0,0,0,4,0,0,0,11,2
15442,32,0,0,0,31,0,1,0,31,2
15455,27,0,0,0,10,0,0,0,3,4
15464,15,0,0,0,21,0,0,0,5,6
15466,24,0,0,0,0,0,0,0,16,3
15469,70,0,0,0,1,0,1,0,7,2
15476,17,0,0,0,0,0,0,0,1,0
15480,36,0,1,0,74,0,1,0,0,0
15491,28,0,1,0,0,0,0,0,0,0
15494,10,0,0,0,0,0,0,0,0,0
15500,16,0,0,0,0,0,0,0,1,2
15507,20,0,0,1,160,1,0,0,30,0
15511,8,0,0,0,0,0,0,0,0,0
15514,19,0,0,0,15,0,2,0,6,3
15516,65,0,1,0,1,1,1,0,7,8
15518,23,0,0,0,10,0,0,0,2,0
15522,6,0,0,0,0,0,0,0,0,4
15531,24,0,0,0,25,0,0,0,0,2
15533,30,0,0,1,126,2,1,0,41,94
15537,15,0,0,0,0,0,0,0,0,10
15542,28,0,0,0,3,0,0,0,5,1
15550,5,0,0,0,1,1,0,0,10,44
15572,280,2,5,1,259,15,4,0,169,0
15580,32,1,1,1,40,0,0,0,2,0
15599,18,0,2,0,0,0,0,0,1,2
15600,68,0,0,0,1,0,0,0,8,8
15621,34,0,0,0,1,0,0,0,5,0
15632,51,0,2,0,5,0,0,0,2,5
15638,57,0,0,0,0,0,0,0,3,0
15646,65,0,3,0,0,0,0,0,3,0
15660,10,0,0,0,4,0,0,0,0,0
15664,27,0,0,1,1,0,0,0,1,0
15667,24,0,1,0,10,0,0,0,0,2
15673,6,0,0,0,0,0,0,0,4,11
15676,19,0,0,0,0,0,0,0,0,1
15681,14,0,2,0,38,0,1,0,0,0
15686,26,0,0,1,0,0,0,0,1,0
15690,20,0,4,0,7,0,0,0,3,2
15693,26,0,0,0,0,0,0,0,0,4
15696,9,0,0,0,0,0,0,0,1,1
15720,14,0,0,0,1,0,0,0,2,13
15723,1,0,1,0,0,0,0,0,0,5
15740,33,0,0,0,0,0,0,0,10,2
15753,22,0,0,0,0,0,0,0,6,14
15755,11,0,0,0,6,0,1,0,18,40
15757,21,0,0,0,0,0,0,0,2,7
15759,115,0,1,0,1,1,0,0,8,6
15761,7,0,1,0,0,0,0,0,1,4
15762,7,0,0,0,0,0,0,0,0,4
15763,44,0,1,0,0,0,0,0,19,4
15764,22,0,0,0,0,0,0,0,2,0
15774,5,0,1,0,0,0,0,0,1,16
15776,22,0,0,0,0,0,0,0,5,1
15778,4,0,0,0,0,0,0,0,0,5
15790,22,0,0,0,0,0,0,0,7,11
15798,7,0,0,0,1,0,0,0,1,1
15804,20,0,0,0,0,0,0,0,3,2
15806,44,0,0,0,0,0,0,0,2,0
15808,22,0,0,0,0,0,2,0,3,3
15810,8,0,0,0,0,0,0,0,0,2
15814,38,0,0,0,0,0,0,0,2,1
15816,22,0,0,0,2,0,0,0,1,0
15820,6,0,0,0,0,0,0,0,0,0
15822,33,0,0,0,0,0,0,0,11,6
15832,5,0,0,0,7,0,0,0,0,0
15835,10,0,0,0,0,0,0,0,2,2
15837,55,0,1,0,0,0,1,0,5,3
15839,15,0,0,0,0,0,0,0,0,0
15842,28,0,1,0,0,0,1,0,0,1
15861,33,0,0,0,0,0,0,0,1,0
15879,11,0,0,0,0,0,0,0,2,0
