cod,mpio_name,ADO|EU/LWAL+DNO/H:1,"ADO|EU/LWAL+DNO/H:1,2",CR+PC/LWAL+DUL/H:1,"CR+PC/LWAL+DUL/H:1,2",CR/LINF+DNO/H:3,CR/LINF+DNO/H:4,CR/LINF+DNO/H:5,"CR/LINF+DNO/H:6,10",CR/LINF+DUL/H:3,CR/LINF+DUL/H:4,CR/LINF+DUL/H:5,"CR/LINF+DUL/H:6,10",CR/LWAL+DUL/H:1,CR/LWAL+DUL/H:2,MATO/LN,MCF/LWAL+DNO/H:1,MCF/LWAL+DNO/H:2,MCF/LWAL+DNO/H:3,MCF/LWAL+DUL/H:1,MCF/LWAL+DUL/H:2,MCF/LWAL+DUL/H:3,MR/LWAL+DUL/H:2,MR/LWAL+DUL/H:3,MR/LWAL+DUL/H:4,MR/LWAL+DUL/H:5,MR/LWAL+DUL/H:6,MUR+ST/LWAL+DNO/H:1,MUR+ST/LWAL+DNO/H:2,MUR/LWAL+DNO/H:1,MUR/LWAL+DNO/H:2,MUR/LWAL+DNO/H:3,UNK,W+WO/LN+DNO/H:1,"W+WO/LN+DNO/H:1,2",CR/LINF+DUH/H:3,CR/LINF+DUH/H:4,CR/LINF+DUH/H:5,"CR/LINF+DUH/H:6,10",CR/LWAL+DUH/H:1,CR/LWAL+DUH/H:2,CR/LWAL+DUH/H:3,CR/LWAL+DUH/H:4,CR/LWAL+DUH/H:5,MCF/LWAL+DUH/H:1,MCF/LWAL+DUH/H:2,MCF/LWAL+DUH/H:3,MR/LWAL+DUH/H:2,MR/LWAL+DUH/H:3,MR/LWAL+DUH/H:4,MR/LWAL+DUH/H:5,MR/LWAL+DUH/H:6,CR/LINF+DUM/H:3,CR/LINF+DUM/H:4,CR/LINF+DUM/H:5,"CR/LINF+DUM/H:6,10",CR/LWAL+DUM/H:1,CR/LWAL+DUM/H:2,CR/LWAL+DUM/H:3,CR/LWAL+DUM/H:4,CR/LWAL+DUM/H:5,"CR/LWAL+DUM/H:6,10",MCF/LWAL+DUM/H:1,MCF/LWAL+DUM/H:2,MCF/LWAL+DUM/H:3,MR/LWAL+DUM/H:2,MR/LWAL+DUM/H:3,MR/LWAL+DUM/H:4,MR/LWAL+DUM/H:5,MR/LWAL+DUM/H:6,"CR/LWAL+DUH/H:6,10",CR/LWAL+DUL/H:3,CR/LWAL+DUL/H:4,CR/LWAL+DUL/H:5,"CR/LWAL+DUL/H:6,10"
19809,Timbiquí,14,1,4,5,0,0,0,0,0,0,0,0,1,1,9,34,15,0,0,0,0,0,0,0,0,0,23,8,417,165,0,674,2654,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19821,Toribio,64,107,0,6,0,0,0,0,0,0,0,0,0,0,5,34,14,0,0,0,0,0,0,0,0,0,29,10,504,202,0,75,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19824,Totoró,44,50,1,2,0,0,0,0,0,0,0,0,1,0,0,17,8,0,0,0,0,0,0,0,0,0,27,6,320,111,0,54,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19845,Villa Rica,2,17,0,3,0,0,0,0,0,0,0,0,1,0,4,143,64,0,0,0,0,0,0,0,0,0,97,41,2064,857,0,342,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,Valledupar,1072,786,15,256,0,3139,3140,2312,0,0,0,0,0,0,1380,3545,1283,244,0,0,0,0,0,0,0,0,722,198,27978,9524,1904,8807,2315,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,590,434,282,84,27,789,791,676,7594,2710,543,24,24,196,196,144,0,0,0,0,0
20011,Aguachica,208,228,1,31,532,355,177,0,0,0,0,0,0,0,658,532,207,20,0,0,0,0,0,0,0,0,245,73,10365,3866,407,3667,300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,89,44,0,15,5,32,22,11,0,2659,1030,109,0,0,0,0,0,0,0,0,0,0
20013,Agustín Codazzi,654,237,3,15,372,247,124,0,0,0,0,0,0,0,196,257,101,10,0,0,0,0,0,0,0,0,160,38,5021,1818,186,1029,369,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,62,30,0,14,5,33,22,11,0,1250,485,49,0,0,0,0,0,0,0,0,0,0
20032,Astrea,327,140,0,1,0,0,0,0,0,0,0,0,0,0,75,78,33,0,0,0,0,0,0,0,0,0,103,31,1429,543,0,297,224,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20045,Becerril,330,263,2,5,0,0,0,0,0,0,0,0,2,1,36,125,53,0,0,0,0,0,0,0,0,0,100,39,1862,762,0,641,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20060,Bosconia,43,30,1,65,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,53,0,212,0,0,1193,485,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
