cod,mpio_name,ADO|EU/LWAL+DNO/H:1,"ADO|EU/LWAL+DNO/H:1,2",CR+PC/LWAL+DUL/H:1,"CR+PC/LWAL+DUL/H:1,2",CR/LINF+DNO/H:3,CR/LINF+DNO/H:4,CR/LINF+DNO/H:5,"CR/LINF+DNO/H:6,10",CR/LINF+DUL/H:3,CR/LINF+DUL/H:4,CR/LINF+DUL/H:5,"CR/LINF+DUL/H:6,10",CR/LWAL+DUL/H:1,CR/LWAL+DUL/H:2,MATO/LN,MCF/LWAL+DNO/H:1,MCF/LWAL+DNO/H:2,MCF/LWAL+DNO/H:3,MCF/LWAL+DUL/H:1,MCF/LWAL+DUL/H:2,MCF/LWAL+DUL/H:3,MR/LWAL+DUL/H:2,MR/LWAL+DUL/H:3,MR/LWAL+DUL/H:4,MR/LWAL+DUL/H:5,MR/LWAL+DUL/H:6,MUR+ST/LWAL+DNO/H:1,MUR+ST/LWAL+DNO/H:2,MUR/LWAL+DNO/H:1,MUR/LWAL+DNO/H:2,MUR/LWAL+DNO/H:3,UNK,W+WO/LN+DNO/H:1,"W+WO/LN+DNO/H:1,2",CR/LINF+DUH/H:3,CR/LINF+DUH/H:4,CR/LINF+DUH/H:5,"CR/LINF+DUH/H:6,10",CR/LWAL+DUH/H:1,CR/LWAL+DUH/H:2,CR/LWAL+DUH/H:3,CR/LWAL+DUH/H:4,CR/LWAL+DUH/H:5,MCF/LWAL+DUH/H:1,MCF/LWAL+DUH/H:2,MCF/LWAL+DUH/H:3,MR/LWAL+DUH/H:2,MR/LWAL+DUH/H:3,MR/LWAL+DUH/H:4,MR/LWAL+DUH/H:5,MR/LWAL+DUH/H:6,CR/LINF+DUM/H:3,CR/LINF+DUM/H:4,CR/LINF+DUM/H:5,"CR/LINF+DUM/H:6,10",CR/LWAL+DUM/H:1,CR/LWAL+DUM/H:2,CR/LWAL+DUM/H:3,CR/LWAL+DUM/H:4,CR/LWAL+DUM/H:5,"CR/LWAL+DUM/H:6,10",MCF/LWAL+DUM/H:1,MCF/LWAL+DUM/H:2,MCF/LWAL+DUM/H:3,MR/LWAL+DUM/H:2,MR/LWAL+DUM/H:3,MR/LWAL+DUM/H:4,MR/LWAL+DUM/H:5,MR/LWAL+DUM/H:6,"CR/LWAL+DUH/H:6,10",CR/LWAL+DUL/H:3,CR/LWAL+DUL/H:4,CR/LWAL+DUL/H:5,"CR/LWAL+DUL/H:6,10"
5113,Buritica,9,260,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.0,135,58.0,0.0,77,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5120,Caceres,3,6,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,18,112.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,44.0,1898,758.0,0.0,814,789,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5125,Caicedo,7,210,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,100,43.0,0.0,78,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5129,Caldas,6,554,3,72,0.0,983.0,984.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,1,315.0,255.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,14.0,1438,1136.0,283.0,383,93,1,0.0,185.0,185.0,157.0,26.0,19.0,6.0,93.0,93.0,434.0,346.0,86.0,4.0,4.0,61.0,61.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0
5134,Campamento,4,195,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5.0,248,104.0,0.0,115,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5138,Canasgordas,4,78,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1,43.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,11.0,555,233.0,0.0,193,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5142,Caracoli,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0,47.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5.0,249,107.0,0.0,47,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5145,Caramanta,88,286,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.0,170,66.0,0.0,169,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5147,Carepa,0,8,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,73,0.0,0.0,1142,1016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5148,El Carmen de Viboral,3,96,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,5,0.0,0.0,542,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
