Municipio,Material Pared,Material Piso,Tipo Vivienda,No. edificaciones,TPER,THOG,Departamento,COD,No. total edificaciones
2,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Casa,2,8,2,5,5002,2530
2,Concreto vaciado,"Marmol, parque, madera pulida y lacada",Casa,1,1,1,5,5002,2530
2,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,28,90,33,5,5002,2530
2,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,5,15,8,5,5002,2530
2,Concreto vaciado,"Cemento, gravilla",Casa,9,16,10,5,5002,2530
2,Concreto vaciado,"Cemento, gravilla",Apartamento,3,6,3,5,5002,2530
2,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,6,1,5,5002,2530
2,Material prefabricado,"Cemento, gravilla",Casa,12,28,14,5,5002,2530
2,Guadua,"Marmol, parque, madera pulida y lacada",Casa,1,1,1,5,5002,2530
2,Guadua,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,1,1,5,5002,2530
2,"Tapia pisada, bahareque, adobe","Marmol, parque, madera pulida y lacada",Casa,6,26,7,5,5002,2530
2,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,821,2960,1090,5,5002,2530
2,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,84,268,122,5,5002,2530
2,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,339,1244,416,5,5002,2530
2,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Apartamento,15,63,22,5,5002,2530
2,"Tapia pisada, bahareque, adobe","Madera burda, tabla, tablon, otro vegetal",Casa,70,219,76,5,5002,2530
2,"Tapia pisada, bahareque, adobe","Madera burda, tabla, tablon, otro vegetal",Apartamento,4,11,6,5,5002,2530
2,"Tapia pisada, bahareque, adobe","Tierra, arena, barro",Casa,1,1,1,5,5002,2530
2,"Madera burda, tabla, tablon","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,4,1,5,5002,2530
2,"Madera burda, tabla, tablon","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,2,8,3,5,5002,2530
2,"Madera burda, tabla, tablon","Cemento, gravilla",Casa,1,4,1,5,5002,2530
2,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Casa,1,5,1,5,5002,2530
2,"Cana, esterilla, otros vegetales","Madera burda, tabla, tablon, otro vegetal",Casa,1,1,1,5,5002,2530
2,"Madera burda, tabla, tablon, otro vegetal","Cemento, gravilla",Casa,1,4,1,5,5002,2530
4,Sin informacion,Sin informacion,Casa,38,0,0,5,5004,305
4,Sin informacion,Sin informacion,Apartamento,33,0,0,5,5004,305
4,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Casa,25,29,26,5,5004,305
4,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,68,266,114,5,5004,305
4,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,12,52,22,5,5004,305
4,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,51,205,70,5,5004,305
