Cod,Departamento,Edificaciones C. Municipal,Edificaciones C. Poblado,Edificaciones Rural Disperso y Resto,Personas C. Municipal,Personas C. Poblado,Personas Rural Disperso y Resto,Total edificaciones,Total personas
15215,15.0,452.0,0.0,12.0,1552.0,0.0,924.0,464.0,2476.0
15218,15.0,166.0,4.0,23.0,461.0,18.0,2108.0,193.0,2587.0
15223,15.0,672.0,188.0,606.0,2124.0,568.0,2089.0,1466.0,4781.0
15224,15.0,418.0,0.0,8.0,1454.0,0.0,1920.0,426.0,3374.0
15226,15.0,111.0,34.0,10.0,250.0,90.0,1280.0,155.0,1620.0
15232,15.0,88.0,21.0,37.0,331.0,77.0,3939.0,146.0,4347.0
15236,15.0,164.0,0.0,36.0,614.0,0.0,1051.0,200.0,1665.0
15238,15.0,21352.0,660.0,108.0,103425.0,3077.0,10203.0,22120.0,116705.0
15244,15.0,683.0,0.0,23.0,2138.0,0.0,1794.0,706.0,3932.0
15248,15.0,461.0,0.0,18.0,1227.0,0.0,1369.0,479.0,2596.0
15272,15.0,718.0,0.0,34.0,2485.0,0.0,4035.0,752.0,6520.0
15276,15.0,429.0,51.0,24.0,1138.0,135.0,1911.0,504.0,3184.0
15293,15.0,198.0,0.0,24.0,555.0,0.0,2189.0,222.0,2744.0
15296,15.0,405.0,0.0,27.0,1321.0,0.0,3074.0,432.0,4395.0
15299,15.0,3403.0,0.0,29.0,10798.0,0.0,3174.0,3432.0,13972.0
15317,15.0,232.0,0.0,12.0,594.0,0.0,1170.0,244.0,1764.0
15322,15.0,2108.0,0.0,10.0,6430.0,0.0,1588.0,2118.0,8018.0
15325,15.0,413.0,0.0,14.0,1004.0,0.0,2082.0,427.0,3086.0
15332,15.0,439.0,0.0,50.0,1222.0,0.0,1917.0,489.0,3139.0
15362,15.0,430.0,0.0,8.0,1159.0,0.0,785.0,438.0,1944.0
15367,15.0,558.0,0.0,14.0,1684.0,0.0,4618.0,572.0,6302.0
15368,15.0,318.0,30.0,28.0,988.0,155.0,2391.0,376.0,3534.0
15377,15.0,348.0,0.0,38.0,1070.0,0.0,1998.0,386.0,3068.0
15380,15.0,347.0,0.0,10.0,920.0,0.0,1364.0,357.0,2284.0
15401,15.0,122.0,0.0,86.0,328.0,0.0,627.0,208.0,955.0
15403,15.0,486.0,26.0,20.0,1211.0,71.0,1489.0,532.0,2771.0
15407,15.0,1949.0,40.0,79.0,7850.0,74.0,6311.0,2068.0,14235.0
15425,15.0,289.0,52.0,50.0,982.0,115.0,2419.0,391.0,3516.0
15442,15.0,164.0,122.0,97.0,699.0,425.0,4223.0,383.0,5347.0
15455,15.0,1520.0,0.0,44.0,4889.0,0.0,3303.0,1564.0,8192.0
15464,15.0,645.0,0.0,47.0,1992.0,0.0,2308.0,692.0,4300.0
15466,15.0,919.0,0.0,43.0,2326.0,0.0,1566.0,962.0,3892.0
15469,15.0,2993.0,0.0,81.0,11012.0,0.0,9631.0,3074.0,20643.0
15476,15.0,172.0,0.0,18.0,715.0,0.0,4507.0,190.0,5222.0
15480,15.0,1229.0,0.0,112.0,5326.0,0.0,2627.0,1341.0,7953.0
15491,15.0,1316.0,1922.0,29.0,4936.0,6997.0,2713.0,3267.0,14646.0
